,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
carpet,81.58,91.11,0.00,89.23,34.31,0.00
grid,48.62,75.04,0.00,85.71,8.40,0.00
leather,98.20,97.79,0.00,96.22,31.82,0.00
tile,75.61,71.40,0.00,85.08,25.22,0.00
wood,92.11,90.10,0.00,91.60,38.95,0.00
bottle,99.05,89.97,0.00,97.60,52.76,0.00
cable,44.58,49.35,0.00,76.35,5.74,0.00
capsule,54.37,84.32,0.00,90.46,9.99,0.00
hazelnut,74.25,96.18,0.00,79.49,42.42,0.00
metal_nut,42.52,44.52,0.00,89.42,22.64,0.00
pill,76.95,89.05,0.00,91.58,27.04,0.00
screw,64.83,90.09,0.00,85.30,9.11,0.00
toothbrush,60.28,87.95,0.00,83.87,12.77,0.00
transistor,71.71,71.06,0.00,67.42,18.67,0.00
zipper,89.34,92.07,0.00,90.38,31.45,0.00
